ProductKey,AlternateKey,SubcategoryKey,SubcategoryName,ProductName,Color,ListPrice,Size,ProductLine,Class,Style,ModelName,Status
1,AR-5381,NULL,NULL,Adjustable Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
2,BA-8327,NULL,NULL,Bearing Ball,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
3,BE-2349,NULL,NULL,BB Ball Bearing,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
4,BE-2908,NULL,NULL,Headset Ball Bearings,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
5,BL-2036,NULL,NULL,Blade,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
6,CA-5965,NULL,NULL,LL Crankarm,Black,NULL,NULL,NULL,L ,NULL,NULL,Current
7,CA-6738,NULL,NULL,ML Crankarm,Black,NULL,NULL,NULL,M ,NULL,NULL,Current
8,CA-7457,NULL,NULL,HL Crankarm,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
9,CB-2903,NULL,NULL,Chainring Bolts,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
10,CN-6137,NULL,NULL,Chainring Nut,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
11,CR-7833,NULL,NULL,Chainring,Black,NULL,NULL,NULL,NULL,NULL,NULL,Current
12,CR-9981,NULL,NULL,Crown Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
13,CS-2812,NULL,NULL,Chain Stays,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
14,DC-8732,NULL,NULL,Decal 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
15,DC-9824,NULL,NULL,Decal 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
16,DT-2377,NULL,NULL,Down Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
17,EC-M092,NULL,NULL,Mountain End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
18,EC-R098,NULL,NULL,Road End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
19,EC-T209,NULL,NULL,Touring End Caps,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
20,FE-3760,NULL,NULL,Fork End,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
21,FH-2981,NULL,NULL,Freewheel,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
22,FW-1000,NULL,NULL,Flat Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
23,FW-1200,NULL,NULL,Flat Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
24,FW-1400,NULL,NULL,Flat Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
25,FW-3400,NULL,NULL,Flat Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
26,FW-3800,NULL,NULL,Flat Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
27,FW-5160,NULL,NULL,Flat Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
28,FW-5800,NULL,NULL,Flat Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
29,FW-7160,NULL,NULL,Flat Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
30,FW-9160,NULL,NULL,Flat Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
31,FC-3654,NULL,NULL,Fork Crown,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
32,FC-3982,NULL,NULL,Front Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
33,FL-2301,NULL,NULL,Front Derailleur Linkage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
34,GP-0982,NULL,NULL,Guide Pulley,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
35,GT-0820,NULL,NULL,LL Grip Tape,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
36,GT-1209,NULL,NULL,ML Grip Tape,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
37,GT-2908,NULL,NULL,HL Grip Tape,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
38,HJ-1213,NULL,NULL,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
39,HJ-1220,NULL,NULL,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
40,HJ-1420,NULL,NULL,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
41,HJ-1428,NULL,NULL,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
42,HJ-3410,NULL,NULL,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
43,HJ-3416,NULL,NULL,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
44,HJ-3816,NULL,NULL,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
45,HJ-3824,NULL,NULL,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
46,HJ-5161,NULL,NULL,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
47,HJ-5162,NULL,NULL,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
48,HJ-5811,NULL,NULL,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
49,HJ-5818,NULL,NULL,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
50,HJ-7161,NULL,NULL,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
51,HJ-7162,NULL,NULL,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
52,HJ-9080,NULL,NULL,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
53,HJ-9161,NULL,NULL,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
54,HN-1024,NULL,NULL,Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
55,HN-1032,NULL,NULL,Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
56,HN-1213,NULL,NULL,Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
57,HN-1220,NULL,NULL,Hex Nut 17,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
58,HN-1224,NULL,NULL,Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
59,HN-1420,NULL,NULL,Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
60,HN-1428,NULL,NULL,Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
61,HN-3410,NULL,NULL,Hex Nut 22,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
62,HN-3416,NULL,NULL,Hex Nut 23,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
63,HN-3816,NULL,NULL,Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
64,HN-3824,NULL,NULL,Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
65,HN-4402,NULL,NULL,Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
66,HN-5161,NULL,NULL,Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
67,HN-5162,NULL,NULL,Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
68,HN-5400,NULL,NULL,Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
69,HN-5811,NULL,NULL,Hex Nut 20,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
70,HN-5818,NULL,NULL,Hex Nut 21,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
71,HN-6320,NULL,NULL,Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
72,HN-7161,NULL,NULL,Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
73,HN-7162,NULL,NULL,Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
74,HN-8320,NULL,NULL,Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
75,HN-9161,NULL,NULL,Hex Nut 18,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
76,HN-9168,NULL,NULL,Hex Nut 19,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
77,HT-2981,NULL,NULL,Handlebar Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
78,HT-8019,NULL,NULL,Head Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
79,HU-6280,NULL,NULL,LL Hub,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
80,HU-8998,NULL,NULL,HL Hub,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
81,KW-4091,NULL,NULL,Keyed Washer,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
82,LE-1000,NULL,NULL,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
83,LE-1200,NULL,NULL,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
84,LE-1201,NULL,NULL,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
85,LE-1400,NULL,NULL,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
86,LE-3800,NULL,NULL,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
87,LE-5160,NULL,NULL,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
88,LE-6000,NULL,NULL,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
89,LE-7160,NULL,NULL,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
90,LE-8000,NULL,NULL,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
91,LI-1000,NULL,NULL,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
92,LI-1200,NULL,NULL,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
93,LI-1201,NULL,NULL,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
94,LI-1400,NULL,NULL,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
95,LI-3800,NULL,NULL,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
96,LI-5160,NULL,NULL,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
97,LI-5800,NULL,NULL,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
98,LI-6000,NULL,NULL,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
99,LI-7160,NULL,NULL,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
100,LI-8000,NULL,NULL,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
101,LJ-1213,NULL,NULL,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
102,LJ-1220,NULL,NULL,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
103,LJ-1420,NULL,NULL,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
104,LJ-1428,NULL,NULL,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
105,LJ-3410,NULL,NULL,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
106,LJ-3416,NULL,NULL,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
107,LJ-3816,NULL,NULL,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
108,LJ-3824,NULL,NULL,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
109,LJ-5161,NULL,NULL,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
110,LJ-5162,NULL,NULL,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
111,LJ-5811,NULL,NULL,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
112,LJ-5818,NULL,NULL,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
113,LJ-7161,NULL,NULL,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
114,LJ-7162,NULL,NULL,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
115,LJ-9080,NULL,NULL,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
116,LJ-9161,NULL,NULL,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
117,LN-1024,NULL,NULL,Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
118,LN-1032,NULL,NULL,Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
119,LN-1213,NULL,NULL,Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
120,LN-1220,NULL,NULL,Lock Nut 17,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
121,LN-1224,NULL,NULL,Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
122,LN-1420,NULL,NULL,Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
123,LN-1428,NULL,NULL,Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
124,LN-3410,NULL,NULL,Lock Nut 22,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
125,LN-3416,NULL,NULL,Lock Nut 23,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
126,LN-3816,NULL,NULL,Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
127,LN-3824,NULL,NULL,Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
128,LN-4400,NULL,NULL,Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
129,LN-5161,NULL,NULL,Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
